"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Binghamton","America East","Away",5,"Sophia Lambros","S",5,1,0,1,1,24,1,3,12,0,0,0,0,0,2,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Binghamton","America East","Away",10,"Aubrey Moore","S",5,0,1,1,-1,17,0,3,7,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Binghamton","America East","Away",19,"Jane Petrie","S",4,0,0,0,0,6,1,0,2,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Binghamton","America East","Away",17,"Cornelia Roach","MB",5,1,2,3,-0.333,0,0,1,0,0,0,1,3,0,3.5,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Binghamton","America East","Away",13,"Audrey Ross","OH",5,15,13,43,0.047,0,0,1,3,27,2,0,4,0,17,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Binghamton","America East","Away",2,"Halle Schroder","OH",5,22,5,59,0.288,2,0,0,9,42,3,0,1,1,22.5,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Binghamton","America East","Away",16,"Brooklyn Yelland","L/DS",5,0,0,0,0,8,2,2,23,23,2,0,0,0,2,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",1,"Emilia Bernal","L/DS",4,0,0,0,0,0,1,2,3,5,1,0,0,0,1,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",23,"Julia Haggerty","MB",4,2,2,6,0,0,0,0,2,0,0,4,5,0,8.5,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",14,"Anna Herrington","MB",4,7,0,15,0.467,0,0,0,3,0,0,0,2,0,8,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",12,"Sam Hoppes","OPP",4,10,0,18,0.556,2,0,0,4,0,0,0,4,0,12,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",5,"Sophia Lambros","S",4,0,0,2,0,20,1,2,7,1,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",10,"Aubrey Moore","S",1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",19,"Jane Petrie","S",4,0,0,0,0,23,0,3,5,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",11,"Morgan Riddle","L/DS",2,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",17,"Cornelia Roach","MB",4,3,1,6,0.333,0,0,2,0,3,0,0,6,0,6,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",13,"Audrey Ross","OH",4,15,9,42,0.143,0,0,0,5,24,2,2,2,0,18,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",2,"Halle Schroder","OH",4,16,5,39,0.282,2,1,1,11,22,1,0,3,0,18.5,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Jacksonville","ASUN","Home",16,"Brooklyn Yelland","L/DS",4,0,0,1,0,4,2,3,15,20,2,0,0,0,2,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",1,"Emilia Bernal","L/DS",4,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",23,"Julia Haggerty","MB",4,12,1,20,0.55,1,0,0,0,0,0,1,1,1,13.5,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",14,"Anna Herrington","MB",4,6,3,19,0.158,1,0,0,1,0,0,0,1,0,6.5,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",12,"Sam Hoppes","OPP",4,2,2,9,0,1,0,0,2,0,0,0,4,0,4,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",5,"Sophia Lambros","S",4,0,0,0,0,17,1,2,11,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",24,"Sequoia Layne","OH",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
